DIS_DIA;SQRT_DIS;ID_LOBO;COD_SEXO;COD_EDAD;COD_STATUS;COD_CRIA;HOME_RANGE;REFUGIO;NUCLEOS;CARRETERAS;GANADO
5998.37;77.4491446;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6146.59;78.40019133;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
13208.88;114.9298917;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
10332.97;101.6512174;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8361.71;91.44238623;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
1902.39;43.616396;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
1311.52;36.21491405;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8294.07;91.07178487;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
5546.77;74.47664063;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
7871.99;88.7242357;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
565.43;23.77877205;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
14454.52;120.2269521;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
12304.35;110.9249746;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
3641.29;60.34310234;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
4634.02;68.0736366;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8350.71;91.38221928;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
15637.03;125.0481107;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
7593.36;87.13988754;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8163.72;90.35330652;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
7218.03;84.95899011;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8487.72;92.12882285;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6877.73;82.93208064;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
15889.74;126.054512;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
18136.5;134.6718233;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
14602.45;120.8405975;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
10501.47;102.4766803;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
1379.55;37.14229395;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2445.5;49.45199693;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8302.79;91.11964662;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3915.75;62.57595385;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1870.55;43.24985549;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
655.18;25.59648413;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1892.7;43.50517211;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4123.03;64.21082463;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6405.52;80.03449256;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5842.32;76.43507048;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2331.98;48.29057879;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5899.32;76.80703093;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2967.17;54.47173579;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4371.77;66.11936176;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6053.14;77.801928;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2821.28;53.11572272;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5346.97;73.1229786;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7779.67;88.20243761;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5381.98;73.36197925;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3699.35;60.8222821;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
9241.79;96.13422908;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3749.9;61.23642707;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4810.39;69.35697514;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2111.79;45.95421635;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3263.84;57.13002713;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11561.76;107.5256249;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4852.53;69.66010336;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3145.09;56.08110199;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2526.91;50.26837972;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6520.98;80.7525851;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6431.61;80.19731916;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1948.72;44.14430881;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
13061.01;114.2847759;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5464.9;73.92496195;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1998.79;44.70782929;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
13404.39;115.7773294;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1389.01;37.26942447;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7144.1;84.522778;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7043.91;83.92800486;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6953.68;83.38872826;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7158.67;84.60892388;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11866.82;108.9349347;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8062.49;89.7913693;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11387.83;106.7137761;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5952.04;77.14946533;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
14853.24;121.8738692;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6533.4;80.82945008;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
14033.72;118.464003;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2792.64;52.845435;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6966.28;83.46424384;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7916.72;88.97595181;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11690.24;108.1214132;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11560.79;107.5211142;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
14050.37;118.5342567;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8776.42;93.68254907;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
14781.95;121.5810429;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11508.89;107.2794948;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
13877.4;117.8023769;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
21597.41;146.9605729;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7976.25;89.30985388;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
11337.7;106.4786364;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
19566.28;139.8795196;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6709.97;81.91440655;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3594.46;59.95381556;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
6318.96;79.49188638;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2613.93;51.12660755;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
1979.49;44.49145985;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4455.83;66.75200372;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4280.54;65.42583588;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8444.28;91.89276359;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
10913.38;104.467124;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3667.76;60.56203431;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5872.39;76.63152093;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4391.67;66.26967632;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5076.38;71.24871929;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
12005;109.5673309;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7402.96;86.0404556;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3084.87;55.54160603;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5176.75;71.94963516;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
22388.11;149.6265685;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
5379.54;73.3453475;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
4037.41;63.54061693;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
16832.87;129.7415508;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
3900.9;62.45718534;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
7616.42;87.27210322;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
2764.73;52.58069988;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
8488.92;92.13533524;Canteiro;1;2;2;1;679.71;369.97;619;1023.41;9235.845
