ID;COD_SEX;COD_C_EDAD;COD_STATUS;COD_CRIA;Dis_dia;SqrtDis_dia;K90_total;K90_refugio;N_nucleos_KT90;K90_carre;K90_bioma_tot_T
L4;1;2;2;1;5176.75;71.94963516;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;22388.11;149.6265685;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5379.54;73.3453475;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4037.41;63.54061693;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;16832.87;129.7415508;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3900.9;62.45718534;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7616.42;87.27210322;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2764.73;52.58069988;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8488.92;92.13533524;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5930.98;77.01285607;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4556.24;67.49992593;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6083.79;77.99865383;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7419.33;86.13553274;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;12194.3;110.4278045;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5782.91;76.04544694;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3299.1;57.43779244;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8718.1;93.3707663;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;15578.33;124.8131804;679.71;369.97;619;1023.41;9235.845
L5;2;2;1;2;586.29;24.21342603;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3509.81;59.24364945;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3696.14;60.79588802;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3898.81;62.44045163;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;7829.31;88.48338827;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2671.99;51.69129521;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2423.15;49.22550152;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3865.36;62.17201943;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;6314.42;79.46332487;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;1030.78;32.10576272;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;4052.55;63.65964185;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;7776.2;88.18276476;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3748.04;61.22123814;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;6006.28;77.50019355;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;3144.06;56.07191811;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;4630.82;68.05012858;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2037.74;45.14133361;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;7599.25;87.17367722;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;5264.43;72.55639186;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;5487.64;74.0786069;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2689.95;51.8647279;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2359.71;48.57684634;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;6905.94;83.10198554;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;5667.62;75.28359715;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;5340.63;73.07961412;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;2204.76;46.95487195;44.93;33.71;12;86.73;2448.385
L5;2;2;1;2;7518.02;86.70651648;44.93;33.71;12;86.73;2448.385
